hist_avg_units,hist_trend,entitlement_limit,num_people,days_home,month_sin,month_cos,baseload_kwh,ac_1ton_kwh,ac_1_5ton_kwh,geyser_kwh,wm_kwh,microwave_kwh,cooler_kwh,iron_kwh,has_ac_1ton,has_ac_1_5ton,has_geyser,has_wm,has_microwave,has_cooler,has_iron,month,theoretical_units,actual_units
311.27,20.67,200.0,4,30,-0.866025,0.5,161.7,166.87,0.0,24.25,5.54,0.0,0.0,0.0,1,0,1,1,0,0,0,10,358.36,249.41
225.32,16.18,200.0,3,28,0.0,-1.0,219.48,0.0,0.0,28.17,11.08,27.19,0.0,12.99,0,0,1,1,1,0,1,6,298.91,231.04
99.15,-54.74,109.07,3,23,0.866025,0.5,78.84,0.0,0.0,0.0,4.16,0.0,11.22,12.88,0,0,0,1,0,1,1,2,107.1,60.7
180.13,41.29,198.14,6,30,0.5,0.866025,224.34,0.0,0.0,0.0,0.0,0.0,11.12,2.38,0,0,0,0,0,1,1,1,237.84,204.15
104.42,50.87,114.86,5,29,-0.866025,0.5,93.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,10,93.84,94.03
246.88,42.18,200.0,4,30,0.866025,0.5,237.72,0.0,0.0,0.0,0.0,29.93,0.0,9.74,0,0,0,0,1,0,1,2,277.4,213.45
196.31,-18.81,200.0,7,28,-0.5,0.866025,182.58,0.0,0.0,0.0,8.66,38.3,0.0,0.0,0,0,0,1,1,0,0,11,229.54,239.25
247.7,-12.63,200.0,5,30,-0.5,0.866025,203.46,0.0,0.0,76.95,0.0,0.0,0.0,5.41,0,0,1,0,0,0,1,11,285.83,330.04
266.48,-8.9,200.0,4,23,0.866025,-0.5,253.32,0.0,0.0,0.0,0.0,44.96,0.0,6.5,0,0,0,0,1,0,1,4,304.77,351.06
168.8,-15.05,185.68,2,26,0.5,-0.866025,107.22,104.07,0.0,0.0,0.0,0.0,0.0,5.85,1,0,0,0,0,0,1,5,217.14,213.68
289.72,-34.49,200.0,1,19,0.5,0.866025,200.22,0.0,118.16,0.0,0.0,0.0,0.0,5.52,0,1,0,0,0,0,1,1,323.91,136.02
340.46,31.95,200.0,5,24,0.5,0.866025,311.46,0.0,0.0,40.42,6.93,0.0,0.0,10.82,0,0,1,1,0,0,1,1,369.63,304.45
188.01,-3.89,200.0,4,28,0.0,-1.0,198.6,0.0,0.0,26.35,0.0,0.0,0.0,6.5,0,0,1,0,0,0,1,6,231.44,196.64
232.89,-5.04,200.0,5,21,0.5,0.866025,263.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,263.46,214.88
352.01,-30.22,200.0,6,22,-0.866025,0.5,213.6,0.0,163.81,37.7,0.0,0.0,0.0,6.5,0,1,1,0,0,0,1,10,421.61,321.96
234.93,7.35,200.0,5,20,0.5,0.866025,243.6,0.0,0.0,0.0,5.2,0.0,0.0,1.84,0,0,0,1,0,0,1,1,250.64,190.43
77.85,-5.46,85.64,3,20,0.0,-1.0,77.82,0.0,0.0,0.0,6.93,0.0,0.0,3.25,0,0,0,1,0,0,1,6,88.0,55.65
217.87,-0.35,200.0,4,20,-0.0,1.0,197.58,0.0,0.0,31.4,8.66,7.35,0.0,10.39,0,0,1,1,1,0,1,12,255.38,203.8
211.89,-45.18,200.0,4,24,0.5,-0.866025,184.2,65.36,0.0,0.0,0.0,0.0,0.0,8.12,1,0,0,0,0,0,1,5,257.68,250.88
177.67,52.04,195.44,3,29,-0.866025,0.5,201.84,0.0,0.0,0.0,8.31,0.0,8.63,0.0,0,0,0,1,0,1,0,10,218.78,210.25
497.1,14.77,200.0,5,29,-0.5,-0.866025,133.98,0.0,423.73,0.0,3.46,0.0,0.0,4.11,0,1,0,1,0,0,1,7,565.29,410.34
217.44,-20.84,200.0,4,20,-1.0,-0.0,222.72,0.0,0.0,9.66,6.93,0.0,0.0,6.5,0,0,1,1,0,0,1,9,245.8,205.65
161.21,18.4,177.33,3,30,0.5,0.866025,180.96,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0,0,0,0,0,0,1,1,182.91,147.52
157.5,13.67,173.25,4,30,-1.0,-0.0,179.34,0.0,0.0,9.34,5.2,0.0,0.0,5.85,0,0,1,1,0,0,1,9,199.72,174.7
188.09,-15.73,200.0,4,23,-0.5,0.866025,201.84,0.0,0.0,0.0,0.0,20.91,0.0,0.0,0,0,0,0,1,0,0,11,222.75,193.06
225.49,-31.49,200.0,5,24,-0.5,-0.866025,215.22,0.0,0.0,43.02,6.93,0.0,0.0,0.0,0,0,1,1,0,0,0,7,265.17,194.75
226.08,-21.52,200.0,3,27,-0.5,0.866025,244.2,0.0,0.0,0.0,0.0,0.0,0.0,8.66,0,0,0,0,0,0,1,11,252.86,237.64
294.05,36.46,200.0,1,21,0.5,-0.866025,293.82,0.0,0.0,0.0,9.35,47.48,0.0,5.52,0,0,0,1,1,0,1,5,356.17,423.47
154.53,34.14,169.98,5,15,-0.0,1.0,156.84,0.0,0.0,0.0,0.0,21.12,0.0,6.93,0,0,0,0,1,0,1,12,184.88,128.98
146.08,0.61,160.69,4,24,0.5,-0.866025,198.6,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0,0,0,0,0,0,1,5,200.98,228.89
63.46,-15.0,69.81,5,28,0.5,-0.866025,56.34,0.0,0.0,0.0,0.0,0.0,0.0,7.79,0,0,0,0,0,0,1,5,64.13,82.37
163.66,16.46,180.03,4,30,0.5,0.866025,122.82,0.0,0.0,45.82,0.0,0.0,15.88,0.0,0,0,1,0,0,1,0,1,184.52,156.79
180.14,-37.19,198.15,6,29,0.5,0.866025,205.08,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0,0,0,0,0,0,1,1,206.7,172.57
398.57,46.34,200.0,4,27,-1.0,-0.0,278.22,167.24,0.0,41.97,0.0,0.0,0.0,5.85,1,0,1,0,0,0,1,9,493.27,280.37
227.76,-18.57,200.0,4,23,0.5,0.866025,244.2,0.0,0.0,0.0,10.39,0.0,0.0,19.48,0,0,0,1,0,0,1,1,274.08,215.4
199.14,45.01,200.0,4,28,0.0,-1.0,203.46,0.0,0.0,12.46,0.0,0.0,0.0,5.2,0,0,1,0,0,0,1,6,221.12,189.85
223.12,-16.2,200.0,3,27,-1.0,-0.0,220.08,0.0,0.0,37.76,6.93,0.0,0.0,4.76,0,0,1,1,0,0,1,9,269.53,234.03
167.3,8.5,184.03,2,28,1.0,0.0,203.46,0.0,0.0,2.31,0.0,0.0,0.0,7.14,0,0,1,0,0,0,1,3,212.92,224.54
282.84,-16.34,200.0,5,30,-0.5,0.866025,225.96,0.0,0.0,107.7,7.79,0.0,8.4,8.66,0,0,1,1,0,1,1,11,358.52,389.57
226.15,26.63,200.0,2,19,0.866025,-0.5,225.96,0.0,0.0,0.0,0.0,51.97,0.0,0.0,0,0,0,0,1,0,0,4,277.93,247.68
189.37,-12.35,200.0,3,30,0.0,-1.0,189.48,0.0,0.0,0.0,0.0,13.71,0.0,9.2,0,0,0,0,1,0,1,6,212.39,210.52
269.73,-5.05,200.0,4,22,0.5,-0.866025,233.46,0.0,0.0,0.0,0.0,0.0,73.68,0.0,0,0,0,0,0,1,0,5,307.14,307.75
251.78,-35.39,200.0,5,25,0.0,-1.0,176.1,0.0,0.0,23.61,0.0,0.0,83.77,7.79,0,0,1,0,0,1,1,6,291.27,255.46
94.35,-8.46,103.78,7,30,-0.866025,-0.5,53.7,0.0,0.0,0.0,9.7,20.92,0.0,7.14,0,0,0,1,1,0,1,8,91.46,85.09
209.31,17.01,200.0,4,21,0.866025,-0.5,215.22,0.0,0.0,0.0,0.0,23.68,0.0,5.2,0,0,0,0,1,0,1,4,244.09,267.47
234.83,68.38,200.0,2,30,0.866025,0.5,188.46,0.0,0.0,53.0,0.0,35.22,0.0,10.82,0,0,1,0,1,0,1,2,287.5,209.85
241.75,-8.68,200.0,2,19,0.5,-0.866025,242.58,0.0,0.0,0.0,0.0,50.58,0.0,0.0,0,0,0,0,1,0,0,5,293.16,313.13
243.99,36.91,200.0,3,28,-0.5,-0.866025,222.72,0.0,0.0,63.89,10.39,0.0,20.18,0.0,0,0,1,1,0,1,0,7,317.17,291.53
613.21,-11.82,200.0,3,18,-0.5,0.866025,229.2,0.0,430.4,0.0,6.24,40.04,0.0,0.0,0,1,0,1,1,0,0,11,705.87,305.82
229.9,50.6,200.0,2,22,-0.5,0.866025,229.2,0.0,0.0,0.0,8.31,22.74,0.0,8.66,0,0,0,1,1,0,1,11,268.91,195.73
188.26,48.34,200.0,5,30,1.0,0.0,200.22,0.0,0.0,0.0,6.93,0.0,0.0,5.85,0,0,0,1,0,0,1,3,212.99,308.69
389.9,-13.29,200.0,7,23,-0.5,-0.866025,181.98,0.0,241.8,0.0,0.0,0.0,0.0,6.5,0,1,0,0,0,0,1,7,430.27,265.39
112.56,21.96,123.82,3,30,-0.866025,0.5,90.6,0.0,0.0,35.49,4.68,0.0,0.0,10.82,0,0,1,1,0,0,1,10,141.6,122.4
255.42,4.9,200.0,4,20,0.866025,-0.5,198.6,0.0,0.0,0.0,0.0,0.0,84.86,2.17,0,0,0,0,0,1,1,4,285.63,284.23
229.95,-35.73,200.0,4,30,0.866025,0.5,263.46,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0,0,0,1,0,0,0,2,270.73,247.86
173.99,-43.9,191.39,3,25,-0.0,1.0,213.6,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0,0,0,0,0,0,1,12,220.96,149.86
309.6,-14.11,200.0,3,24,-0.5,0.866025,200.22,179.88,0.0,0.0,0.0,0.0,0.0,9.74,1,0,0,0,0,0,1,11,389.84,298.52
258.54,-10.25,200.0,4,26,0.5,-0.866025,248.46,0.0,0.0,36.75,0.0,0.0,0.0,7.79,0,0,1,0,0,0,1,5,293.01,338.01
237.11,35.81,200.0,4,24,-0.5,0.866025,203.46,0.0,0.0,78.61,0.0,0.0,0.0,4.87,0,0,1,0,0,0,1,11,286.94,253.35
281.76,15.16,200.0,4,18,-0.5,0.866025,215.82,59.47,0.0,39.78,0.0,0.0,0.0,8.66,1,0,1,0,0,0,1,11,323.72,194.12
189.11,26.94,200.0,5,26,0.866025,-0.5,125.46,0.0,0.0,0.0,0.0,0.0,74.04,2.71,0,0,0,0,0,1,1,4,202.21,241.99
284.51,-16.4,200.0,3,30,1.0,0.0,283.08,0.0,0.0,27.77,0.0,41.19,0.0,2.17,0,0,1,0,1,0,1,3,354.2,412.26
178.36,-52.55,196.2,4,28,1.0,0.0,121.2,0.0,0.0,12.91,0.0,17.08,57.06,1.95,0,0,1,0,1,1,1,3,210.2,231.3
210.81,3.41,200.0,4,20,1.0,0.0,225.96,0.0,0.0,19.28,9.7,0.0,0.0,5.85,0,0,1,1,0,0,1,3,260.78,274.61
194.21,-9.21,200.0,4,18,0.5,0.866025,182.58,0.0,0.0,25.34,0.0,0.0,0.0,11.91,0,0,1,0,0,0,1,1,219.82,142.55
184.04,47.04,200.0,4,30,-0.866025,0.5,222.72,0.0,0.0,0.0,0.0,0.0,7.13,6.5,0,0,0,0,0,1,1,10,236.35,232.62
235.26,-3.99,200.0,3,18,1.0,0.0,244.2,0.0,0.0,0.0,7.79,0.0,0.0,0.0,0,0,0,1,0,0,0,3,251.99,251.38
192.53,-14.52,200.0,4,19,0.0,-1.0,175.08,0.0,0.0,24.6,14.55,0.0,0.0,5.41,0,0,1,1,0,0,1,6,219.64,169.83
98.16,-6.37,107.98,4,30,0.5,0.866025,89.58,0.0,0.0,0.0,0.0,23.49,0.0,0.0,0,0,0,0,1,0,0,1,113.07,95.66
269.23,-9.3,200.0,5,29,0.866025,-0.5,243.6,0.0,0.0,14.33,8.31,34.3,0.0,5.2,0,0,1,1,1,0,1,4,305.74,452.34
199.83,-40.63,200.0,3,26,0.0,-1.0,221.1,0.0,0.0,0.0,0.0,18.52,0.0,3.46,0,0,0,0,1,0,1,6,243.08,175.18
699.52,7.72,200.0,3,18,-0.866025,-0.5,352.2,0.0,403.68,59.01,0.0,0.0,0.0,2.17,0,1,1,0,0,0,1,8,817.06,547.37
257.59,37.55,200.0,6,30,0.5,-0.866025,215.22,0.0,0.0,34.36,12.47,30.28,0.0,0.0,0,0,1,1,1,0,0,5,292.33,375.39
238.79,-2.37,200.0,5,15,1.0,0.0,260.82,0.0,0.0,0.0,1.39,0.0,0.0,15.16,0,0,0,1,0,0,1,3,277.36,291.92
70.69,-35.44,77.76,2,27,0.866025,-0.5,54.72,0.0,0.0,13.1,0.0,0.0,0.0,10.28,0,0,1,0,0,0,1,4,78.1,75.27
190.91,36.73,200.0,3,28,-1.0,-0.0,155.22,0.0,0.0,0.0,6.93,41.98,0.0,3.46,0,0,0,1,1,0,1,9,207.6,174.49
178.5,-27.62,196.35,2,30,0.0,-1.0,177.72,0.0,0.0,17.9,9.7,0.0,0.0,5.2,0,0,1,1,0,0,1,6,210.52,195.75
135.35,18.63,148.89,3,30,-0.5,0.866025,155.22,0.0,0.0,0.0,4.16,0.0,0.0,12.88,0,0,0,1,0,0,1,11,172.26,170.03
212.1,16.69,200.0,3,30,-1.0,-0.0,187.44,0.0,0.0,45.78,0.0,0.0,0.0,7.14,0,0,1,0,0,0,1,9,240.36,227.26
570.05,-13.8,200.0,4,25,0.5,0.866025,208.32,0.0,379.46,63.0,0.0,10.52,0.0,13.53,0,1,1,0,1,0,1,1,674.83,325.61
240.97,-11.01,200.0,3,28,0.5,-0.866025,198.6,0.0,0.0,0.0,3.46,0.0,84.35,5.85,0,0,0,1,0,1,1,5,292.26,384.94
205.06,-31.72,200.0,4,30,-0.866025,0.5,210.96,0.0,0.0,0.0,0.0,0.0,0.0,9.53,0,0,0,0,0,0,1,10,220.49,224.63
474.68,-3.22,200.0,3,19,0.866025,-0.5,200.22,0.0,333.37,9.39,0.0,0.0,0.0,5.41,0,1,1,0,0,0,1,4,548.39,419.85
194.89,19.11,200.0,3,30,0.5,0.866025,203.46,0.0,0.0,0.0,8.66,0.0,9.69,7.79,0,0,0,1,0,1,1,1,229.6,188.12
241.61,7.74,200.0,5,29,0.5,-0.866025,155.22,0.0,0.0,0.0,10.39,0.0,109.63,8.12,0,0,0,1,0,1,1,5,283.36,347.72
272.33,-1.38,200.0,3,22,-0.866025,0.5,244.2,0.0,0.0,42.7,9.7,0.0,0.0,6.5,0,0,1,1,0,0,1,10,303.09,236.57
213.02,22.15,200.0,6,20,-0.866025,-0.5,237.72,0.0,0.0,0.0,0.0,0.0,28.78,0.0,0,0,0,0,0,1,0,8,266.5,198.03
215.14,-11.28,200.0,5,30,-0.866025,0.5,230.22,0.0,0.0,12.88,0.0,0.0,0.0,10.39,0,0,1,0,0,0,1,10,253.5,254.0
184.83,6.07,200.0,3,29,0.5,-0.866025,205.08,0.0,0.0,16.24,0.0,0.0,0.0,7.36,0,0,1,0,0,0,1,5,228.68,259.26
278.04,12.49,200.0,3,30,1.0,0.0,313.08,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0,0,0,1,0,0,0,3,317.76,440.5
208.42,1.83,200.0,3,25,0.5,0.866025,224.34,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0,0,0,0,0,0,1,1,226.29,182.17
194.93,8.52,200.0,3,27,1.0,0.0,201.84,0.0,0.0,6.32,0.0,0.0,0.0,11.91,0,0,1,0,0,0,1,3,220.07,259.03
181.65,57.34,199.82,1,26,-0.5,0.866025,158.46,0.0,0.0,0.0,0.0,42.27,0.0,2.27,0,0,0,0,1,0,1,11,203.0,185.3
185.35,-2.56,200.0,2,29,0.866025,-0.5,200.22,0.0,0.0,22.39,9.7,0.0,0.0,4.55,0,0,1,1,0,0,1,4,236.86,306.47
318.72,-23.92,200.0,5,27,-0.0,1.0,201.84,151.74,0.0,0.0,6.24,0.0,0.0,4.33,1,0,0,1,0,0,1,12,364.15,304.59
274.65,-15.86,200.0,3,26,0.866025,-0.5,146.7,0.0,0.0,0.0,10.39,45.25,112.97,2.17,0,0,0,1,1,1,1,4,317.48,373.26
173.01,-30.48,190.31,6,30,0.5,0.866025,206.1,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0,0,0,1,0,0,0,1,212.34,176.23
345.04,-60.26,200.0,3,29,1.0,0.0,206.7,147.35,0.0,0.0,13.86,34.96,0.0,0.0,1,0,0,1,1,0,0,3,402.87,442.41
165.86,41.7,182.45,4,30,-1.0,-0.0,175.08,0.0,0.0,0.0,0.0,0.0,16.45,0.0,0,0,0,0,0,1,0,9,191.53,194.15
197.54,35.2,200.0,3,21,-0.866025,0.5,218.46,0.0,0.0,0.0,0.0,0.0,0.0,12.99,0,0,0,0,0,0,1,10,231.45,192.08
207.28,6.0,200.0,3,22,1.0,0.0,230.82,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0,0,0,0,0,0,1,3,236.99,262.48
277.84,20.44,200.0,3,27,0.866025,-0.5,241.98,0.0,0.0,0.55,6.93,0.0,67.12,12.12,0,0,1,1,0,1,1,4,328.7,373.62
398.97,51.92,200.0,5,24,0.0,-1.0,98.7,0.0,347.47,0.0,0.0,0.0,0.0,15.16,0,1,0,0,0,0,1,6,461.32,287.37
228.11,-25.2,200.0,4,26,-1.0,-0.0,239.34,0.0,0.0,12.82,6.24,0.0,0.0,5.85,0,0,1,1,0,0,1,9,264.25,197.07
234.96,-25.02,200.0,4,25,-0.0,1.0,225.96,0.0,0.0,0.0,7.27,23.0,2.27,6.5,0,0,0,1,1,1,1,12,265.01,188.87
200.62,-35.42,200.0,4,24,0.866025,-0.5,189.48,0.0,0.0,0.0,6.93,25.0,0.0,12.99,0,0,0,1,1,0,1,4,234.4,278.19
445.69,-32.68,200.0,4,30,-1.0,-0.0,184.2,268.92,0.0,18.1,0.0,20.06,0.0,9.09,1,0,1,0,1,0,1,9,500.38,467.38
238.46,-25.88,200.0,2,16,0.0,-1.0,237.72,0.0,0.0,28.0,0.0,0.0,0.0,15.59,0,0,1,0,0,0,1,6,281.3,169.09
210.18,-31.88,200.0,4,28,0.5,0.866025,243.6,0.0,0.0,0.0,7.79,0.0,1.11,4.33,0,0,0,1,0,1,1,1,256.83,215.58
202.14,-30.5,200.0,4,23,-0.866025,0.5,185.82,0.0,0.0,32.51,8.66,0.0,0.0,0.0,0,0,1,1,0,0,0,10,226.99,226.56
188.56,-47.75,200.0,5,27,0.5,-0.866025,180.96,0.0,0.0,0.0,0.0,38.05,0.0,7.79,0,0,0,0,1,0,1,5,226.8,288.28
129.98,-18.61,142.98,2,19,0.5,-0.866025,92.22,0.0,0.0,25.9,0.0,45.73,0.0,8.66,0,0,1,0,1,0,1,5,172.52,145.85
197.28,-32.23,200.0,4,24,-1.0,-0.0,224.34,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0,0,0,0,0,0,1,9,229.54,183.27
158.44,32.67,174.28,1,29,1.0,0.0,163.32,0.0,0.0,9.96,7.27,0.0,0.0,6.93,0,0,1,1,0,0,1,3,187.49,203.88
148.8,-27.58,163.68,5,30,0.5,0.866025,203.46,0.0,0.0,0.0,0.0,0.0,2.64,2.27,0,0,0,0,0,1,1,1,208.37,167.03
224.57,7.7,200.0,3,18,-0.866025,0.5,229.2,0.0,0.0,9.47,6.93,0.0,0.0,5.41,0,0,1,1,0,0,1,10,251.01,191.07
263.82,36.48,200.0,4,24,0.5,0.866025,216.84,0.0,0.0,46.09,4.16,30.29,0.0,6.5,0,0,1,1,1,0,1,1,303.87,220.84
157.92,30.29,173.71,3,30,-0.866025,0.5,153.6,0.0,0.0,17.11,0.0,0.0,0.0,5.85,0,0,1,0,0,0,1,10,176.56,167.98
197.81,-74.98,200.0,4,23,0.0,-1.0,239.34,0.0,0.0,0.0,7.27,0.0,0.0,5.2,0,0,0,1,0,0,1,6,251.81,188.64
171.5,-9.29,188.65,2,28,0.866025,-0.5,221.1,0.0,0.0,0.0,1.39,0.0,0.0,4.55,0,0,0,1,0,0,1,4,227.03,293.34
328.29,49.62,200.0,4,20,-1.0,-0.0,153.6,0.0,200.02,0.0,0.0,0.0,0.0,7.14,0,1,0,0,0,0,1,9,360.77,218.05
265.45,27.09,200.0,6,29,-0.5,-0.866025,234.48,0.0,0.0,27.53,0.0,39.76,0.0,0.0,0,0,1,0,1,0,0,7,301.76,307.76
129.88,55.79,142.87,1,25,-0.0,1.0,77.82,0.0,0.0,64.83,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,12,142.65,99.48
412.87,1.4,200.0,3,27,0.866025,0.5,200.82,0.0,293.01,0.0,0.0,0.0,0.0,10.28,0,1,0,0,0,0,1,2,504.11,352.72
293.58,-5.52,200.0,3,30,-1.0,-0.0,205.08,0.0,136.0,0.0,0.0,0.0,0.0,5.2,0,1,0,0,0,0,1,9,346.27,261.66
