hist_avg_units,hist_trend,num_people,days_home,month_sin,month_cos,baseload_kwh,ac_1ton_kwh,ac_1_5ton_kwh,geyser_kwh,wm_kwh,microwave_kwh,cooler_kwh,iron_kwh,has_ac_1ton,has_ac_1_5ton,has_geyser,has_wm,has_microwave,has_cooler,has_iron,actual_units,total_hca_kwh,has_any_ac,high_occupancy,partial_month
196.31,-18.81,7,28,-0.5,0.866025,182.58,0.0,0.0,0.0,8.66,38.3,0.0,0.0,0,0,0,1,1,0,0,239.25,46.959999999999994,0,1,0
247.7,-12.63,5,30,-0.5,0.866025,203.46,0.0,0.0,76.95,0.0,0.0,0.0,5.41,0,0,1,0,0,0,1,330.04,82.36,0,1,0
266.48,-8.9,4,23,0.866025,-0.5,253.32,0.0,0.0,0.0,0.0,44.96,0.0,6.5,0,0,0,0,1,0,1,351.06,51.46,0,0,1
168.8,-15.05,2,26,0.5,-0.866025,107.22,104.07,0.0,0.0,0.0,0.0,0.0,5.85,1,0,0,0,0,0,1,213.68,109.91999999999999,1,0,0
289.72,-34.49,1,19,0.5,0.866025,200.22,0.0,118.16,0.0,0.0,0.0,0.0,5.52,0,1,0,0,0,0,1,136.02,123.67999999999999,1,0,1
340.46,31.95,5,24,0.5,0.866025,311.46,0.0,0.0,40.42,6.93,0.0,0.0,10.82,0,0,1,1,0,0,1,304.45,58.17,0,1,1
188.01,-3.89,4,28,0.0,-1.0,198.6,0.0,0.0,26.35,0.0,0.0,0.0,6.5,0,0,1,0,0,0,1,196.64,32.85,0,0,0
232.89,-5.04,5,21,0.5,0.866025,263.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,214.88,0.0,0,1,1
352.01,-30.22,6,22,-0.866025,0.5,213.6,0.0,163.81,37.7,0.0,0.0,0.0,6.5,0,1,1,0,0,0,1,321.96,208.01,1,1,1
234.93,7.35,5,20,0.5,0.866025,243.6,0.0,0.0,0.0,5.2,0.0,0.0,1.84,0,0,0,1,0,0,1,190.43,7.04,0,1,1
77.85,-5.46,3,20,0.0,-1.0,77.82,0.0,0.0,0.0,6.93,0.0,0.0,3.25,0,0,0,1,0,0,1,55.65,10.18,0,0,1
217.87,-0.35,4,20,-0.0,1.0,197.58,0.0,0.0,31.4,8.66,7.35,0.0,10.39,0,0,1,1,1,0,1,203.8,57.800000000000004,0,0,1
211.89,-45.18,4,24,0.5,-0.866025,184.2,65.36,0.0,0.0,0.0,0.0,0.0,8.12,1,0,0,0,0,0,1,250.88,73.48,1,0,1
177.67,52.04,3,29,-0.866025,0.5,201.84,0.0,0.0,0.0,8.31,0.0,8.63,0.0,0,0,0,1,0,1,0,210.25,16.94,0,0,0
497.1,14.77,5,29,-0.5,-0.866025,133.98,0.0,423.73,0.0,3.46,0.0,0.0,4.11,0,1,0,1,0,0,1,410.34,431.3,1,1,0
217.44,-20.84,4,20,-1.0,-0.0,222.72,0.0,0.0,9.66,6.93,0.0,0.0,6.5,0,0,1,1,0,0,1,205.65,23.09,0,0,1
161.21,18.4,3,30,0.5,0.866025,180.96,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0,0,0,0,0,0,1,147.52,1.95,0,0,0
157.5,13.67,4,30,-1.0,-0.0,179.34,0.0,0.0,9.34,5.2,0.0,0.0,5.85,0,0,1,1,0,0,1,174.7,20.39,0,0,0
188.09,-15.73,4,23,-0.5,0.866025,201.84,0.0,0.0,0.0,0.0,20.91,0.0,0.0,0,0,0,0,1,0,0,193.06,20.91,0,0,1
225.49,-31.49,5,24,-0.5,-0.866025,215.22,0.0,0.0,43.02,6.93,0.0,0.0,0.0,0,0,1,1,0,0,0,194.75,49.95,0,1,1
226.08,-21.52,3,27,-0.5,0.866025,244.2,0.0,0.0,0.0,0.0,0.0,0.0,8.66,0,0,0,0,0,0,1,237.64,8.66,0,0,0
294.05,36.46,1,21,0.5,-0.866025,293.82,0.0,0.0,0.0,9.35,47.48,0.0,5.52,0,0,0,1,1,0,1,423.47,62.349999999999994,0,0,1
154.53,34.14,5,15,-0.0,1.0,156.84,0.0,0.0,0.0,0.0,21.12,0.0,6.93,0,0,0,0,1,0,1,128.98,28.05,0,1,1
146.08,0.61,4,24,0.5,-0.866025,198.6,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0,0,0,0,0,0,1,228.89,2.38,0,0,1
63.46,-15.0,5,28,0.5,-0.866025,56.34,0.0,0.0,0.0,0.0,0.0,0.0,7.79,0,0,0,0,0,0,1,82.37,7.79,0,1,0
163.66,16.46,4,30,0.5,0.866025,122.82,0.0,0.0,45.82,0.0,0.0,15.88,0.0,0,0,1,0,0,1,0,156.79,61.7,0,0,0
180.14,-37.19,6,29,0.5,0.866025,205.08,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0,0,0,0,0,0,1,172.57,1.62,0,1,0
398.57,46.34,4,27,-1.0,-0.0,278.22,167.24,0.0,41.97,0.0,0.0,0.0,5.85,1,0,1,0,0,0,1,280.37,215.06,1,0,0
227.76,-18.57,4,23,0.5,0.866025,244.2,0.0,0.0,0.0,10.39,0.0,0.0,19.48,0,0,0,1,0,0,1,215.4,29.87,0,0,1
199.14,45.01,4,28,0.0,-1.0,203.46,0.0,0.0,12.46,0.0,0.0,0.0,5.2,0,0,1,0,0,0,1,189.85,17.66,0,0,0
223.12,-16.2,3,27,-1.0,-0.0,220.08,0.0,0.0,37.76,6.93,0.0,0.0,4.76,0,0,1,1,0,0,1,234.03,49.449999999999996,0,0,0
167.3,8.5,2,28,1.0,0.0,203.46,0.0,0.0,2.31,0.0,0.0,0.0,7.14,0,0,1,0,0,0,1,224.54,9.45,0,0,0
282.84,-16.34,5,30,-0.5,0.866025,225.96,0.0,0.0,107.7,7.79,0.0,8.4,8.66,0,0,1,1,0,1,1,389.57,132.55,0,1,0
226.15,26.63,2,19,0.866025,-0.5,225.96,0.0,0.0,0.0,0.0,51.97,0.0,0.0,0,0,0,0,1,0,0,247.68,51.97,0,0,1
189.37,-12.35,3,30,0.0,-1.0,189.48,0.0,0.0,0.0,0.0,13.71,0.0,9.2,0,0,0,0,1,0,1,210.52,22.91,0,0,0
269.73,-5.05,4,22,0.5,-0.866025,233.46,0.0,0.0,0.0,0.0,0.0,73.68,0.0,0,0,0,0,0,1,0,307.75,73.68,0,0,1
251.78,-35.39,5,25,0.0,-1.0,176.1,0.0,0.0,23.61,0.0,0.0,83.77,7.79,0,0,1,0,0,1,1,255.46,115.17,0,1,0
94.35,-8.46,7,30,-0.866025,-0.5,53.7,0.0,0.0,0.0,9.7,20.92,0.0,7.14,0,0,0,1,1,0,1,85.09,37.76,0,1,0
209.31,17.01,4,21,0.866025,-0.5,215.22,0.0,0.0,0.0,0.0,23.68,0.0,5.2,0,0,0,0,1,0,1,267.47,28.88,0,0,1
234.83,68.38,2,30,0.866025,0.5,188.46,0.0,0.0,53.0,0.0,35.22,0.0,10.82,0,0,1,0,1,0,1,209.85,99.03999999999999,0,0,0
241.75,-8.68,2,19,0.5,-0.866025,242.58,0.0,0.0,0.0,0.0,50.58,0.0,0.0,0,0,0,0,1,0,0,313.13,50.58,0,0,1
243.99,36.91,3,28,-0.5,-0.866025,222.72,0.0,0.0,63.89,10.39,0.0,20.18,0.0,0,0,1,1,0,1,0,291.53,94.46000000000001,0,0,0
613.21,-11.82,3,18,-0.5,0.866025,229.2,0.0,430.4,0.0,6.24,40.04,0.0,0.0,0,1,0,1,1,0,0,305.82,476.68,1,0,1
229.9,50.6,2,22,-0.5,0.866025,229.2,0.0,0.0,0.0,8.31,22.74,0.0,8.66,0,0,0,1,1,0,1,195.73,39.709999999999994,0,0,1
188.26,48.34,5,30,1.0,0.0,200.22,0.0,0.0,0.0,6.93,0.0,0.0,5.85,0,0,0,1,0,0,1,308.69,12.78,0,1,0
389.9,-13.29,7,23,-0.5,-0.866025,181.98,0.0,241.8,0.0,0.0,0.0,0.0,6.5,0,1,0,0,0,0,1,265.39,248.3,1,1,1
112.56,21.96,3,30,-0.866025,0.5,90.6,0.0,0.0,35.49,4.68,0.0,0.0,10.82,0,0,1,1,0,0,1,122.4,50.99,0,0,0
255.42,4.9,4,20,0.866025,-0.5,198.6,0.0,0.0,0.0,0.0,0.0,84.86,2.17,0,0,0,0,0,1,1,284.23,87.03,0,0,1
229.95,-35.73,4,30,0.866025,0.5,263.46,0.0,0.0,0.0,7.27,0.0,0.0,0.0,0,0,0,1,0,0,0,247.86,7.27,0,0,0
173.99,-43.9,3,25,-0.0,1.0,213.6,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0,0,0,0,0,0,1,149.86,7.36,0,0,0
309.6,-14.11,3,24,-0.5,0.866025,200.22,179.88,0.0,0.0,0.0,0.0,0.0,9.74,1,0,0,0,0,0,1,298.52,189.62,1,0,1
258.54,-10.25,4,26,0.5,-0.866025,248.46,0.0,0.0,36.75,0.0,0.0,0.0,7.79,0,0,1,0,0,0,1,338.01,44.54,0,0,0
237.11,35.81,4,24,-0.5,0.866025,203.46,0.0,0.0,78.61,0.0,0.0,0.0,4.87,0,0,1,0,0,0,1,253.35,83.48,0,0,1
281.76,15.16,4,18,-0.5,0.866025,215.82,59.47,0.0,39.78,0.0,0.0,0.0,8.66,1,0,1,0,0,0,1,194.12,107.91,1,0,1
189.11,26.94,5,26,0.866025,-0.5,125.46,0.0,0.0,0.0,0.0,0.0,74.04,2.71,0,0,0,0,0,1,1,241.99,76.75,0,1,0
284.51,-16.4,3,30,1.0,0.0,283.08,0.0,0.0,27.77,0.0,41.19,0.0,2.17,0,0,1,0,1,0,1,412.26,71.13,0,0,0
178.36,-52.55,4,28,1.0,0.0,121.2,0.0,0.0,12.91,0.0,17.08,57.06,1.95,0,0,1,0,1,1,1,231.3,89.0,0,0,0
210.81,3.41,4,20,1.0,0.0,225.96,0.0,0.0,19.28,9.7,0.0,0.0,5.85,0,0,1,1,0,0,1,274.61,34.83,0,0,1
194.21,-9.21,4,18,0.5,0.866025,182.58,0.0,0.0,25.34,0.0,0.0,0.0,11.91,0,0,1,0,0,0,1,142.55,37.25,0,0,1
184.04,47.04,4,30,-0.866025,0.5,222.72,0.0,0.0,0.0,0.0,0.0,7.13,6.5,0,0,0,0,0,1,1,232.62,13.629999999999999,0,0,0
235.26,-3.99,3,18,1.0,0.0,244.2,0.0,0.0,0.0,7.79,0.0,0.0,0.0,0,0,0,1,0,0,0,251.38,7.79,0,0,1
192.53,-14.52,4,19,0.0,-1.0,175.08,0.0,0.0,24.6,14.55,0.0,0.0,5.41,0,0,1,1,0,0,1,169.83,44.56,0,0,1
98.16,-6.37,4,30,0.5,0.866025,89.58,0.0,0.0,0.0,0.0,23.49,0.0,0.0,0,0,0,0,1,0,0,95.66,23.49,0,0,0
269.23,-9.3,5,29,0.866025,-0.5,243.6,0.0,0.0,14.33,8.31,34.3,0.0,5.2,0,0,1,1,1,0,1,452.34,62.14,0,1,0
199.83,-40.63,3,26,0.0,-1.0,221.1,0.0,0.0,0.0,0.0,18.52,0.0,3.46,0,0,0,0,1,0,1,175.18,21.98,0,0,0
257.59,37.55,6,30,0.5,-0.866025,215.22,0.0,0.0,34.36,12.47,30.28,0.0,0.0,0,0,1,1,1,0,0,375.39,77.11,0,1,0
238.79,-2.37,5,15,1.0,0.0,260.82,0.0,0.0,0.0,1.39,0.0,0.0,15.16,0,0,0,1,0,0,1,291.92,16.55,0,1,1
70.69,-35.44,2,27,0.866025,-0.5,54.72,0.0,0.0,13.1,0.0,0.0,0.0,10.28,0,0,1,0,0,0,1,75.27,23.38,0,0,0
190.91,36.73,3,28,-1.0,-0.0,155.22,0.0,0.0,0.0,6.93,41.98,0.0,3.46,0,0,0,1,1,0,1,174.49,52.37,0,0,0
178.5,-27.62,2,30,0.0,-1.0,177.72,0.0,0.0,17.9,9.7,0.0,0.0,5.2,0,0,1,1,0,0,1,195.75,32.8,0,0,0
135.35,18.63,3,30,-0.5,0.866025,155.22,0.0,0.0,0.0,4.16,0.0,0.0,12.88,0,0,0,1,0,0,1,170.03,17.04,0,0,0
212.1,16.69,3,30,-1.0,-0.0,187.44,0.0,0.0,45.78,0.0,0.0,0.0,7.14,0,0,1,0,0,0,1,227.26,52.92,0,0,0
570.05,-13.8,4,25,0.5,0.866025,208.32,0.0,379.46,63.0,0.0,10.52,0.0,13.53,0,1,1,0,1,0,1,325.61,466.50999999999993,1,0,0
240.97,-11.01,3,28,0.5,-0.866025,198.6,0.0,0.0,0.0,3.46,0.0,84.35,5.85,0,0,0,1,0,1,1,384.94,93.65999999999998,0,0,0
205.06,-31.72,4,30,-0.866025,0.5,210.96,0.0,0.0,0.0,0.0,0.0,0.0,9.53,0,0,0,0,0,0,1,224.63,9.53,0,0,0
474.68,-3.22,3,19,0.866025,-0.5,200.22,0.0,333.37,9.39,0.0,0.0,0.0,5.41,0,1,1,0,0,0,1,419.85,348.17,1,0,1
194.89,19.11,3,30,0.5,0.866025,203.46,0.0,0.0,0.0,8.66,0.0,9.69,7.79,0,0,0,1,0,1,1,188.12,26.14,0,0,0
241.61,7.74,5,29,0.5,-0.866025,155.22,0.0,0.0,0.0,10.39,0.0,109.63,8.12,0,0,0,1,0,1,1,347.72,128.14,0,1,0
272.33,-1.38,3,22,-0.866025,0.5,244.2,0.0,0.0,42.7,9.7,0.0,0.0,6.5,0,0,1,1,0,0,1,236.57,58.900000000000006,0,0,1
213.02,22.15,6,20,-0.866025,-0.5,237.72,0.0,0.0,0.0,0.0,0.0,28.78,0.0,0,0,0,0,0,1,0,198.03,28.78,0,1,1
215.14,-11.28,5,30,-0.866025,0.5,230.22,0.0,0.0,12.88,0.0,0.0,0.0,10.39,0,0,1,0,0,0,1,254.0,23.270000000000003,0,1,0
184.83,6.07,3,29,0.5,-0.866025,205.08,0.0,0.0,16.24,0.0,0.0,0.0,7.36,0,0,1,0,0,0,1,259.26,23.599999999999998,0,0,0
278.04,12.49,3,30,1.0,0.0,313.08,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0,0,0,1,0,0,0,440.5,4.68,0,0,0
208.42,1.83,3,25,0.5,0.866025,224.34,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0,0,0,0,0,0,1,182.17,1.95,0,0,0
194.93,8.52,3,27,1.0,0.0,201.84,0.0,0.0,6.32,0.0,0.0,0.0,11.91,0,0,1,0,0,0,1,259.03,18.23,0,0,0
181.65,57.34,1,26,-0.5,0.866025,158.46,0.0,0.0,0.0,0.0,42.27,0.0,2.27,0,0,0,0,1,0,1,185.3,44.540000000000006,0,0,0
185.35,-2.56,2,29,0.866025,-0.5,200.22,0.0,0.0,22.39,9.7,0.0,0.0,4.55,0,0,1,1,0,0,1,306.47,36.64,0,0,0
318.72,-23.92,5,27,-0.0,1.0,201.84,151.74,0.0,0.0,6.24,0.0,0.0,4.33,1,0,0,1,0,0,1,304.59,162.31000000000003,1,1,0
274.65,-15.86,3,26,0.866025,-0.5,146.7,0.0,0.0,0.0,10.39,45.25,112.97,2.17,0,0,0,1,1,1,1,373.26,170.78,0,0,0
173.01,-30.48,6,30,0.5,0.866025,206.1,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0,0,0,1,0,0,0,176.23,6.24,0,1,0
345.04,-60.26,3,29,1.0,0.0,206.7,147.35,0.0,0.0,13.86,34.96,0.0,0.0,1,0,0,1,1,0,0,442.41,196.17,1,0,0
165.86,41.7,4,30,-1.0,-0.0,175.08,0.0,0.0,0.0,0.0,0.0,16.45,0.0,0,0,0,0,0,1,0,194.15,16.45,0,0,0
197.54,35.2,3,21,-0.866025,0.5,218.46,0.0,0.0,0.0,0.0,0.0,0.0,12.99,0,0,0,0,0,0,1,192.08,12.99,0,0,1
207.28,6.0,3,22,1.0,0.0,230.82,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0,0,0,0,0,0,1,262.48,6.17,0,0,1
277.84,20.44,3,27,0.866025,-0.5,241.98,0.0,0.0,0.55,6.93,0.0,67.12,12.12,0,0,1,1,0,1,1,373.62,86.72000000000001,0,0,0
398.97,51.92,5,24,0.0,-1.0,98.7,0.0,347.47,0.0,0.0,0.0,0.0,15.16,0,1,0,0,0,0,1,287.37,362.63000000000005,1,1,1
228.11,-25.2,4,26,-1.0,-0.0,239.34,0.0,0.0,12.82,6.24,0.0,0.0,5.85,0,0,1,1,0,0,1,197.07,24.910000000000004,0,0,0
234.96,-25.02,4,25,-0.0,1.0,225.96,0.0,0.0,0.0,7.27,23.0,2.27,6.5,0,0,0,1,1,1,1,188.87,39.04,0,0,0
200.62,-35.42,4,24,0.866025,-0.5,189.48,0.0,0.0,0.0,6.93,25.0,0.0,12.99,0,0,0,1,1,0,1,278.19,44.92,0,0,1
238.46,-25.88,2,16,0.0,-1.0,237.72,0.0,0.0,28.0,0.0,0.0,0.0,15.59,0,0,1,0,0,0,1,169.09,43.59,0,0,1
210.18,-31.88,4,28,0.5,0.866025,243.6,0.0,0.0,0.0,7.79,0.0,1.11,4.33,0,0,0,1,0,1,1,215.58,13.23,0,0,0
202.14,-30.5,4,23,-0.866025,0.5,185.82,0.0,0.0,32.51,8.66,0.0,0.0,0.0,0,0,1,1,0,0,0,226.56,41.17,0,0,1
188.56,-47.75,5,27,0.5,-0.866025,180.96,0.0,0.0,0.0,0.0,38.05,0.0,7.79,0,0,0,0,1,0,1,288.28,45.839999999999996,0,1,0
129.98,-18.61,2,19,0.5,-0.866025,92.22,0.0,0.0,25.9,0.0,45.73,0.0,8.66,0,0,1,0,1,0,1,145.85,80.28999999999999,0,0,1
197.28,-32.23,4,24,-1.0,-0.0,224.34,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0,0,0,0,0,0,1,183.27,5.2,0,0,1
158.44,32.67,1,29,1.0,0.0,163.32,0.0,0.0,9.96,7.27,0.0,0.0,6.93,0,0,1,1,0,0,1,203.88,24.16,0,0,0
148.8,-27.58,5,30,0.5,0.866025,203.46,0.0,0.0,0.0,0.0,0.0,2.64,2.27,0,0,0,0,0,1,1,167.03,4.91,0,1,0
224.57,7.7,3,18,-0.866025,0.5,229.2,0.0,0.0,9.47,6.93,0.0,0.0,5.41,0,0,1,1,0,0,1,191.07,21.81,0,0,1
263.82,36.48,4,24,0.5,0.866025,216.84,0.0,0.0,46.09,4.16,30.29,0.0,6.5,0,0,1,1,1,0,1,220.84,87.03999999999999,0,0,1
157.92,30.29,3,30,-0.866025,0.5,153.6,0.0,0.0,17.11,0.0,0.0,0.0,5.85,0,0,1,0,0,0,1,167.98,22.96,0,0,0
197.81,-74.98,4,23,0.0,-1.0,239.34,0.0,0.0,0.0,7.27,0.0,0.0,5.2,0,0,0,1,0,0,1,188.64,12.469999999999999,0,0,1
171.5,-9.29,2,28,0.866025,-0.5,221.1,0.0,0.0,0.0,1.39,0.0,0.0,4.55,0,0,0,1,0,0,1,293.34,5.9399999999999995,0,0,0
328.29,49.62,4,20,-1.0,-0.0,153.6,0.0,200.02,0.0,0.0,0.0,0.0,7.14,0,1,0,0,0,0,1,218.05,207.16,1,0,1
265.45,27.09,6,29,-0.5,-0.866025,234.48,0.0,0.0,27.53,0.0,39.76,0.0,0.0,0,0,1,0,1,0,0,307.76,67.28999999999999,0,1,0
129.88,55.79,1,25,-0.0,1.0,77.82,0.0,0.0,64.83,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,99.48,64.83,0,0,0
412.87,1.4,3,27,0.866025,0.5,200.82,0.0,293.01,0.0,0.0,0.0,0.0,10.28,0,1,0,0,0,0,1,352.72,303.28999999999996,1,0,0
293.58,-5.52,3,30,-1.0,-0.0,205.08,0.0,136.0,0.0,0.0,0.0,0.0,5.2,0,1,0,0,0,0,1,261.66,141.2,1,0,0
74.1,22.12,4,30,-0.5,-0.866025,86.34,0.0,0.0,0.0,10.39,0.0,0.0,8.23,0,0,0,1,0,0,1,81.15,18.62,0,0,0
